TIMESTAMP,RELATIVE_ALTITUDE,PRESSURE
1738694270.451708,0.00000000,0.00000000
1738694273.012304,0.00000000,0.00000000
1738694275.577841,0.00000000,0.00000000
1738694278.144730,0.00000000,0.00000000
1738694280.706800,0.00000000,0.00000000
1738694283.266214,0.00000000,0.00000000
1738694285.825129,0.00000000,0.00000000
1738694288.390096,0.00000000,0.00000000
1738694290.950968,0.00000000,0.00000000
1738694293.513111,0.00000000,0.00000000
1738694296.076972,0.00000000,22136648698507520834648579268407008250800659616615656967408394543552883928132472779206041254182925862424024464609891618971524601615321589067119746691255252756182740819753210233502857179142611535028539644433263493120.00000000
1738694298.641343,0.00000000,0.00000000
1738694301.201496,0.00000000,0.00000000
1738694303.764047,0.00000000,0.00000000
1738694306.324782,0.00000000,0.00000000
1738694308.885731,0.00000000,0.00000000
1738694311.450790,0.00000000,-0.00000000
1738694314.010845,0.00000000,0.00000000
1738694316.574330,0.00000000,0.00000000
1738694319.132470,0.00000000,0.00000000
1738694321.694924,0.00000000,0.00000000
1738694324.257937,0.00000000,0.00000000
1738694326.817694,0.00000000,0.00000000
1738694329.385665,0.00000000,0.00000000
1738694331.948544,0.00000000,0.00000000
1738694334.506529,0.00000000,0.00000000
1738694337.067126,0.00000000,0.00000000
1738694339.643781,0.00000000,0.00000000
1738694342.192370,0.00000000,0.00000000
1738694344.753340,0.00000000,0.00000000
1738694347.318599,0.00000000,0.00000000
1738694349.875704,0.00000000,0.00000000
1738694352.437351,0.00000000,0.00000000
1738694355.005256,0.00000000,0.00000000
1738694357.561083,0.00000000,0.00000000
1738694360.129414,0.00000000,0.00000000
1738694362.695362,0.00000000,0.00000000
1738694365.248991,0.00000000,0.00000000
1738694367.813441,0.00000000,0.00000000
1738694370.370629,0.00000000,0.00000000
1738694372.933114,0.00000000,0.00000000
1738694375.497565,0.00000000,0.00000000
1738694378.058136,0.00000000,0.00000000
1738694380.619814,0.00000000,0.00000000
1738694383.181089,0.00000000,0.00000000
1738694385.743689,0.00000000,0.00000000
1738694388.309032,0.00000000,0.00000000
1738694390.868045,0.00000000,0.00000000
1738694393.432821,0.00000000,0.00000000
1738694395.992974,0.00000000,0.00000000
1738694398.552161,0.00000000,0.00000000
1738694401.117066,0.00000000,0.00000000
1738694403.676259,0.00000000,0.00000000
1738694406.239200,0.00000000,0.00000000
1738694408.800368,0.00000000,0.00000000
1738694411.364350,0.00000000,0.00000000
1738694413.926004,0.00000000,0.00000000
1738694416.487292,0.00000000,0.00000000
1738694419.050268,0.00000000,-131072.31058614
1738694421.614060,0.00000000,0.00000000
1738694424.174416,0.00000000,0.00000000
1738694426.741269,0.00000000,0.00000000
1738694429.301859,0.00000000,0.00000000
1738694431.864564,0.00000000,0.00000000
1738694434.430058,0.00000000,0.00000000
1738694436.983414,0.00000000,213817141211038040434095987063339983129613400680033801047509281014522869120006295171136104059323234311826166708063561524611290729444973055959749031721959948725386501705061803703643153334755043602518530670459034352844162563519562552136327248652333575198212096.00000000
1738694439.545715,0.00000000,0.00000000
1738694442.106205,0.00000000,0.00000000
1738694444.672185,0.00000000,0.00000000
1738694447.234469,0.00000000,0.00000000
1738694449.791098,0.00000000,0.00000000
1738694452.354251,0.00000000,0.00000000
1738694454.914540,0.00000000,0.00000000
1738694457.480391,0.00000000,0.00000000
1738694460.078433,0.00000000,0.00000000
1738694462.599932,0.00000000,0.00000000
1738694465.162888,0.00000000,0.00000000
1738694467.725281,0.00000000,0.00000000
1738694470.290615,0.00000000,0.00000000
1738694472.852385,0.00000000,0.00000000
1738694475.410918,0.00000000,0.00000000
1738694477.971628,0.00000000,0.00000000
1738694480.538654,0.00000000,0.00000000
1738694483.098436,0.00000000,0.00000000
1738694485.662301,0.00000000,0.00000000
1738694488.224879,0.00000000,0.00000000
1738694490.783775,0.00000000,0.00000000
1738694493.346690,0.00000000,0.00000000
1738694495.905491,0.00000000,0.00000000
1738694498.468961,0.00000000,0.00000000
1738694501.033571,0.00000000,0.00000000
1738694503.593315,0.00000000,0.00000000
1738694506.154887,0.00000000,0.00000000
1738694508.718071,0.00000000,0.00000000
1738694511.280029,0.00000000,0.00000000
1738694513.839653,0.00000000,0.00000000
1738694516.402705,0.00000000,0.00000000
1738694518.967402,0.00000000,0.00000000
1738694521.527673,0.00000000,0.00000000
1738694524.088476,0.00000000,0.00000000
1738694526.649123,0.00000000,0.00000000
1738694529.211423,0.00000000,0.00000000
1738694531.775494,0.00000000,0.00000000
1738694534.339785,0.00000000,0.00000000
1738694536.901123,0.00000000,0.00000000
1738694539.461484,0.00000000,0.00000000
1738694542.025936,0.00000000,0.00000000
1738694544.585658,0.00000000,0.00000000
1738694547.147062,0.00000000,0.00000000
1738694549.713656,0.00000000,0.00000000
1738694552.272801,0.00000000,0.00000000
1738694554.830343,0.00000000,0.00000000
1738694557.395448,0.00000000,0.00000000
1738694559.966810,0.00000000,0.00000000
1738694562.522299,0.00000000,0.00000000
1738694565.080593,0.00000000,0.00000000
1738694567.641122,0.00000000,0.00000000
1738694570.205896,0.00000000,0.00000000
1738694572.764458,0.00000000,0.00000000
1738694575.328825,0.00000000,0.00000000
1738694577.893769,0.00000000,0.00000000
1738694580.452501,0.00000000,0.00000000
1738694583.013608,0.00000000,0.00000000
1738694585.573539,0.00000000,0.00000000
1738694588.149737,0.00000000,0.00000000
1738694590.698173,0.00000000,-3105038238389652746999435572955897254456106812729823991214540409506037939926745408260442784555716277497978155702437572553959885953316811817856105585075015589020431067325397121757289891696132013026842958079552347078913519615154847744.00000000
1738694593.258810,0.00000000,-3105038238389652746999435572955897254456106812729823991214540409506037939926745408260442784555716277497978155702437572553959885953316811817856105585075015589020431067325397121757289891696132013026842958079552347078913519615154847744.00000000
1738694595.820931,0.00000000,-3105038238389652746999435572955897254456106812729823991214540409506037939926745408260442784555716277497978155702437572553959885953316811817856105585075015589020431067325397121757289891696132013026842958079552347078913519615154847744.00000000
1738694598.387220,0.00000000,-3105038238389652746999435572955897254456106812729823991214540409506037939926745408260442784555716277497978155702437572553959885953316811817856105585075015589020431067325397121757289891696132013026842958079552347078913519615154847744.00000000
1738694600.945715,0.00000000,-3105038238389652746999435572955897254456106812729823991214540409506037939926745408260442784555716277497978155702437572553959885953316811817856105585075015589020431067325397121757289891696132013026842958079552347078913519615154847744.00000000
1738694603.512066,0.00000000,-3105038238389652746999435572955897254456106812729823991214540409506037939926745408260442784555716277497978155702437572553959885953316811817856105585075015589020431067325397121757289891696132013026842958079552347078913519615154847744.00000000
1738694606.073508,0.00000000,-3105036942851205885335171755312846530802076853312069105262892309477048219523972691207040074210910831238448614281764053889098541691745644604104252522678572340520353804474348988866717479438925545909808424086043380915218881911204085760.00000000
